	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	fdr	Mean_Gene_Len	Stdv_Gene_Len
0	GO:0055085	1.21672e-16	1.0	77	257	transmembrane transport	BP	2.299610034217428e-13	2758.5	1376.0343515230038
1	GO:0006749	1.84355e-11	1.0	21	42	glutathione metabolic process	BP	1.7421579417127973e-08	1128.5	717.9551729638052
2	GO:0007304	5.87220e-11	1.0	18	30	chorion-containing eggshell formation	BP	3.6994870387537584e-08	3010.4	2235.9829844313813
3	GO:0007305	4.27057e-10	0.9999999999925882	11	13	vitelline membrane formation involved in chorion-containing eggshell formation	BP	2.0178439902500758e-07	2760.3	2410.8052719312686
4	GO:0007306	3.36071e-08	0.9999999989463824	10	13	eggshell chorion assembly	BP	1.2703465550508765e-05	2607.2	2114.9413829358105
5	GO:0006635	9.92283e-07	0.9999998720904342	14	30	fatty acid beta-oxidation	BP	0.000312569135412	2517.8	3449.2694558252315
6	GO:0003333	1.04925e-05	0.999998209646192	14	35	amino acid transmembrane transport	BP	0.0028329644091878	2605.6	1132.2671841604042
7	GO:0030198	1.31572e-05	0.9999979139488532	13	31	extracellular matrix organization	BP	0.0029271468300756	4043.8	1757.4216764941325
8	GO:0033540	1.39388e-05	0.9999997489118678	6	7	fatty acid beta-oxidation using acyl-CoA oxidase	BP	0.0029271468300756	2350.1	127.91674588399684
9	GO:0019991	8.54658e-05	0.9999839431211414	12	34	septate junction assembly	BP	0.0161530403614698	2574.3	2328.4386908450524
10	GO:0035080	1.36289e-04	0.9999926708599411	6	9	heat shock-mediated polytene chromosome puffing	BP	0.0234169592867548	2761.6	1070.0522428690738
11	GO:0032222	1.70009e-04	0.9999840961060033	7	14	regulation of synaptic transmission, cholinergic	BP	0.0248760958604545	1376.2	1076.198347263673
12	GO:0034475	1.71843e-04	0.9999938222319852	5	7	U4 snRNA 3'-end processing	BP	0.0248760958604545	1087.6	254.34670215664127
