Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006334~nucleosome assembly	72	10.714285714285714	4.7950862777216935E-59	FBGN0053908, FBGN0030054, FBGN0053890, FBGN0053897, FBGN0053896, FBGN0053874, FBGN0053910, FBGN0053898, FBGN0053876, FBGN0051611, FBGN0267366, FBGN0053893, FBGN0053892, FBGN0053870, FBGN0053895, FBGN0053872, FBGN0053894, FBGN0053878, FBGN0053880, FBGN0061209, FBGN0053886, FBGN0027620, FBGN0053888, FBGN0053882, FBGN0053884, FBGN0053904, FBGN0053827, FBGN0053906, FBGN0053868, FBGN0053901, FBGN0053900, FBGN0053902	544	129	10945	11.229480164158687	6.7083257025326495E-56	6.703530616254928E-56	6.679555184866319E-56
GOTERM_BP_DIRECT	GO:0006333~chromatin assembly or disassembly	24	3.571428571428571	2.2534314848796356E-25	FBGN0053908, FBGN0053880, FBGN0053890, FBGN0061209, FBGN0053886, FBGN0027620, FBGN0053896, FBGN0053874, FBGN0053910, FBGN0053888, FBGN0053898, FBGN0053876, FBGN0053882, FBGN0053892, FBGN0053870, FBGN0053884, FBGN0053872, FBGN0053894, FBGN0053904, FBGN0053906, FBGN0053868, FBGN0053900, FBGN0053878, FBGN0053902	544	29	10945	16.650608519269777	3.15255064734661E-22	1.5751486079308653E-22	1.5695150292186661E-22
GOTERM_BP_DIRECT	GO:0006352~DNA-templated transcription, initiation	26	3.869047619047619	4.139472169012793E-24	FBGN0053897, FBGN0051611, FBGN0053893, FBGN0053895, FBGN0038499, FBGN0004372, FBGN0261793, FBGN0053901	544	38	10945	13.76596362229102	5.791121564448898E-21	1.9289940307599615E-21	1.9220949104782737E-21
GOTERM_BP_DIRECT	GO:0006325~chromatin organization	31	4.613095238095238	1.3923012995945969E-13	FBGN0053908, FBGN0260397, FBGN0053890, FBGN0003567, FBGN0003862, FBGN0053897, FBGN0053896, FBGN0053874, FBGN0053910, FBGN0053898, FBGN0053876, FBGN0051611, FBGN0053893, FBGN0053892, FBGN0053870, FBGN0053895, FBGN0053872, FBGN0053894, FBGN0004372, FBGN0053878, FBGN0061200, FBGN0041210, FBGN0053880, FBGN0005617, FBGN0061209, FBGN0053886, FBGN0053888, FBGN0053882, FBGN0053884, FBGN0053904, FBGN0053906, FBGN0053868, FBGN0053901, FBGN0053900, FBGN0053902	544	122	10945	5.112328230472516	1.947715322359045E-10	4.866093042083116E-11	4.848689275838184E-11
GOTERM_BP_DIRECT	GO:0045892~negative regulation of transcription, DNA-templated	21	3.125	1.3046434512569448E-5	FBGN0037794, FBGN0039585, FBGN0014340, FBGN0033782, FBGN0033233, FBGN0266557, FBGN0003567, FBGN0053182, FBGN0004656, FBGN0027620, FBGN0026411, FBGN0026577, FBGN0010825, FBGN0002441, FBGN0004861, FBGN0031610, FBGN0030520, FBGN0004860, FBGN0004110, FBGN0052529, FBGN0032475	544	137	10945	3.0840086947187633	0.0180865205205617	0.003269658856742709	0.0032579647978845444
GOTERM_BP_DIRECT	GO:0048666~neuron development	8	1.1904761904761905	1.4032870629797033E-5	FBGN0025800, FBGN0024326, FBGN0086758, FBGN0033159, FBGN0250788, FBGN0043362, FBGN0010768, FBGN0000611	544	18	10945	8.941993464052288	0.019440668555162022	0.003269658856742709	0.0032579647978845444
GOTERM_BP_DIRECT	GO:0007411~axon guidance	23	3.422619047619048	4.0758966278916946E-5	FBGN0015774, FBGN0011260, FBGN0038853, FBGN0010341, FBGN0025800, FBGN0002306, FBGN0266557, FBGN0046704, FBGN0000017, FBGN0020238, FBGN0004885, FBGN0030600, FBGN0004103, FBGN0000464, FBGN0005631, FBGN0264089, FBGN0263391, FBGN0004055, FBGN0025740, FBGN0027491, FBGN0033159, FBGN0250788, FBGN0033987	544	172	10945	2.6903962893296858	0.05542761442029753	0.008140147836846556	0.008111034289504472
GOTERM_BP_DIRECT	GO:0007399~nervous system development	15	2.232142857142857	7.968344976330978E-4	FBGN0041585, FBGN0004607, FBGN0004606, FBGN0020379, FBGN0002932, FBGN0027620, FBGN0266521, FBGN0004103, FBGN0000464, FBGN0025740, FBGN0278604, FBGN0016917, FBGN0250788, FBGN0259168, FBGN0033636	544	107	10945	2.820488592633315	0.6721554914991947	0.13924682846138384	0.13874880690036315
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	30	4.464285714285714	0.001025215294616011	FBGN0039124, FBGN0038550, FBGN0039602, FBGN0014340, FBGN0036398, FBGN0039863, FBGN0037060, FBGN0260397, FBGN0262656, FBGN0028647, FBGN0261885, FBGN0004656, FBGN0050169, FBGN0005386, FBGN0053554, FBGN0001185, FBGN0011481, FBGN0261239, FBGN0261934, FBGN0061200, FBGN0041210, FBGN0041111, FBGN0054031, FBGN0020379, FBGN0027620, FBGN0028852, FBGN0265630, FBGN0031715, FBGN0003254, FBGN0038547	544	316	10945	1.9100777177959791	0.7618874745435444	0.15925010909702036	0.15868054504445592
GOTERM_BP_DIRECT	GO:0008045~motor neuron axon guidance	12	1.7857142857142856	0.0012348664972525185	FBGN0015774, FBGN0030090, FBGN0004885, FBGN0000464, FBGN0005631, FBGN0010341, FBGN0025740, FBGN0027491, FBGN0264975, FBGN0004606, FBGN0004449, FBGN0000017	544	76	10945	3.1767608359133126	0.8224753440289735	0.1726343363159021	0.17201690306727585
