Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	dme01100:Metabolic pathways	247	16.39017916390179	5.448434681811566E-22	FBGN0035046, FBGN0262559, FBGN0001149, FBGN0004654, FBGN0031489, FBGN0001145, FBGN0053156, FBGN0000053, FBGN0001142, FBGN0034997, FBGN0035964, FBGN0039774, FBGN0038321, FBGN0036262, FBGN0036147, FBGN0035298, FBGN0039776, FBGN0039094, FBGN0250906, FBGN0026314, FBGN0000064, FBGN0047038, FBGN0032222, FBGN0036821, FBGN0035978, FBGN0030966, FBGN0036824, FBGN0032350, FBGN0011297, FBGN0024920, FBGN0041629, FBGN0036271, FBGN0001125, FBGN0036030, FBGN0031824, FBGN0030731, FBGN0001124, FBGN0050104, FBGN0030057, FBGN0027073, FBGN0259166, FBGN0040091, FBGN0053977, FBGN0027070, FBGN0032910, FBGN0034417, FBGN0038463, FBGN0041630, FBGN0066114, FBGN0001258, FBGN0029924, FBGN0031836, FBGN0004087, FBGN0035632, FBGN0033214, FBGN0038349, FBGN0031830, FBGN0036298, FBGN0035521, FBGN0262512, FBGN0050000, FBGN0004852, FBGN0037709, FBGN0038912, FBGN0041087, FBGN0032014, FBGN0035401, FBGN0032015, FBGN0036857, FBGN0014427, FBGN0013685, FBGN0032382, FBGN0013681, FBGN0029906, FBGN0004507, FBGN0261436, FBGN0027844, FBGN0023129, FBGN0263852, FBGN0027843, FBGN0005278, FBGN0030882, FBGN0028499, FBGN0014417, FBGN0032820, FBGN0010611, FBGN0037166, FBGN0010040, FBGN0037046, FBGN0013675, FBGN0036752, FBGN0260475, FBGN0003748, FBGN0022702, FBGN0037163, FBGN0261446, FBGN0020764, FBGN0039580, FBGN0051477, FBGN0032715, FBGN0050022, FBGN0003067, FBGN0034335, FBGN0026061, FBGN0039109, FBGN0037607, FBGN0036759, FBGN0032955, FBGN0032713, FBGN0036760, FBGN0021967, FBGN0260008, FBGN0039112, FBGN0016013, FBGN0262782, FBGN0038020, FBGN0032726, FBGN0032727, FBGN0033817, FBGN0032729, FBGN0025885, FBGN0030300, FBGN0030662, FBGN0050499, FBGN0031630, FBGN0003076, FBGN0034225, FBGN0010038, FBGN0031877, FBGN0010039, FBGN0261625, FBGN0086355, FBGN0016123, FBGN0034354, FBGN0000454, FBGN0003961, FBGN0051015, FBGN0038957, FBGN0014869, FBGN0035203, FBGN0027493, FBGN0017567, FBGN0036300, FBGN0037873, FBGN0031099, FBGN0000109, FBGN0021944, FBGN0033836, FBGN0036545, FBGN0003292, FBGN0034800, FBGN0063497, FBGN0036551, FBGN0063495, FBGN0035907, FBGN0046114, FBGN0027590, FBGN0029890, FBGN0031661, FBGN0035588, FBGN0040251, FBGN0031663, FBGN0037646, FBGN0032511, FBGN0063494, FBGN0063493, FBGN0086450, FBGN0063492, FBGN0039827, FBGN0042206, FBGN0034141, FBGN0014032, FBGN0038742, FBGN0032881, FBGN0023545, FBGN0029648, FBGN0051021, FBGN0015808, FBGN0040260, FBGN0037537, FBGN0027580, FBGN0037535, FBGN0033853, FBGN0028670, FBGN0035911, FBGN0033735, FBGN0035484, FBGN0036691, FBGN0025839, FBGN0002719, FBGN0034035, FBGN0043783, FBGN0020389, FBGN0058002, FBGN0263200, FBGN0262112, FBGN0023537, FBGN0034390, FBGN0027572, FBGN0030596, FBGN0001186, FBGN0030914, FBGN0032775, FBGN0039849, FBGN0030239, FBGN0260746, FBGN0030482, FBGN0038080, FBGN0000422, FBGN0039052, FBGN0020018, FBGN0003257, FBGN0004465, FBGN0052495, FBGN0030484, FBGN0037315, FBGN0027560, FBGN0014930, FBGN0033879, FBGN0038771, FBGN0037687, FBGN0035147, FBGN0051075, FBGN0024841, FBGN0025814, FBGN0029975, FBGN0000075, FBGN0033883, FBGN0033763, FBGN0030932, FBGN0039756, FBGN0038788, FBGN0039754, FBGN0037696, FBGN0031908, FBGN0051183, FBGN0085736, FBGN0022774, FBGN0003116, FBGN0029969, FBGN0034629, FBGN0034628, FBGN0022097, FBGN0036927, FBGN0050410, FBGN0032684, FBGN0040064, FBGN0082585	439	1153	3261	1.5913068216616255	6.865027699082573E-20	6.865027699082573E-20	5.230497294539103E-20
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	79	5.242203052422031	2.5998898672933248E-18	FBGN0037144, FBGN0015872, FBGN0039641, FBGN0039244, FBGN0019952, FBGN0034275, FBGN0039886, FBGN0035521, FBGN0028468, FBGN0034716, FBGN0264494, FBGN0031523, FBGN0031002, FBGN0035767, FBGN0040350, FBGN0038719, FBGN0038718, FBGN0038717, FBGN0031449, FBGN0035968, FBGN0086365, FBGN0259834, FBGN0035173, FBGN0033196, FBGN0035695, FBGN0038720, FBGN0031010, FBGN0052091, FBGN0260388, FBGN0051121, FBGN0050035, FBGN0038407, FBGN0010651, FBGN0010497, FBGN0033635, FBGN0028491, FBGN0031734, FBGN0038099, FBGN0038337, FBGN0263747, FBGN0031220, FBGN0051272, FBGN0020762, FBGN0034490, FBGN0004512, FBGN0028646, FBGN0030576, FBGN0029932, FBGN0250757, FBGN0053970, FBGN0050345, FBGN0029896, FBGN0030331, FBGN0036316, FBGN0033048, FBGN0037846, FBGN0034611, FBGN0038938, FBGN0031865, FBGN0013953, FBGN0039873, FBGN0039872, FBGN0260964, FBGN0051262, FBGN0023549, FBGN0039594, FBGN0003515, FBGN0260005, FBGN0029849, FBGN0001296, FBGN0034909, FBGN0032167, FBGN0039637, FBGN0041150, FBGN0051106, FBGN0031517, FBGN0031636, FBGN0031998, FBGN0032449	1167	260	10945	2.8496967899281525	4.991788545203184E-15	4.98918865533589E-15	4.9579899769283704E-15
GOTERM_BP_DIRECT	GO:0007304~chorion-containing eggshell formation	18	1.1944260119442602	8.138788506928046E-10	FBGN0014465, FBGN0014464, FBGN0014466, FBGN0035694, FBGN0010383, FBGN0000427, FBGN0036690, FBGN0000256, FBGN0052642, FBGN0036938, FBGN0052644, FBGN0003980, FBGN0004650, FBGN0037405, FBGN0032311, FBGN0039709, FBGN0030439, FBGN0030438	1167	30	10945	5.627249357326478	1.5626461778994738E-6	7.80916757239746E-7	7.760334841355892E-7
GOTERM_BP_DIRECT	GO:0006749~glutathione metabolic process	21	1.39349701393497	7.0307096032330705E-9	FBGN0042206, FBGN0010040, FBGN0063497, FBGN0063495, FBGN0037696, FBGN0034354, FBGN0038020, FBGN0001149, FBGN0050022, FBGN0050000, FBGN0035907, FBGN0033817, FBGN0030484, FBGN0027590, FBGN0010038, FBGN0034335, FBGN0063494, FBGN0063493, FBGN0063492, FBGN0030932, FBGN0010039	1167	45	10945	4.376749500142816	1.3498871311412586E-5	4.4973105762014206E-6	4.469187737788488E-6
KEGG_PATHWAY	dme00071:Fatty acid degradation	19	1.26078301260783	2.1715082261589773E-8	FBGN0035383, FBGN0032160, FBGN0032162, FBGN0038742, FBGN0051075, FBGN0029924, FBGN0261862, FBGN0029969, FBGN0034629, FBGN0034628, FBGN0031824, FBGN0027572, FBGN0035203, FBGN0040064, FBGN0032775, FBGN0036821, FBGN0036857, FBGN0036824, FBGN0033879	439	33	3261	4.276868916960034	2.736096654909481E-6	1.3680501824801557E-6	1.042323948556309E-6
KEGG_PATHWAY	dme01212:Fatty acid metabolism	24	1.5925680159256803	6.487876256119225E-8	FBGN0035383, FBGN0036691, FBGN0039756, FBGN0039754, FBGN0038742, FBGN0029924, FBGN0029648, FBGN0261862, FBGN0029969, FBGN0034629, FBGN0029975, FBGN0032715, FBGN0034628, FBGN0030731, FBGN0027572, FBGN0015808, FBGN0030057, FBGN0033883, FBGN0035203, FBGN0040064, FBGN0032775, FBGN0036821, FBGN0036824, FBGN0033879	439	53	3261	3.3637340439248726	8.174690937834406E-6	2.7249080275700743E-6	2.076120401958152E-6
KEGG_PATHWAY	dme00983:Drug metabolism - other enzymes	34	2.2561380225613803	8.931758507961723E-8	FBGN0010040, FBGN0063497, FBGN0063495, FBGN0034354, FBGN0025814, FBGN0001149, FBGN0050000, FBGN0035907, FBGN0031489, FBGN0027590, FBGN0027073, FBGN0034335, FBGN0031663, FBGN0040251, FBGN0040091, FBGN0063494, FBGN0027070, FBGN0063493, FBGN0086450, FBGN0063492, FBGN0032713, FBGN0034417, FBGN0042206, FBGN0038020, FBGN0003257, FBGN0033817, FBGN0026314, FBGN0030484, FBGN0040260, FBGN0010038, FBGN0032684, FBGN0038349, FBGN0034800, FBGN0010039	439	96	3261	2.630837129840547	1.1253952899692443E-5	2.8135039300079425E-6	2.1436220419108136E-6
GOTERM_BP_DIRECT	GO:0007305~vitelline membrane formation involved in chorion-containing eggshell formation	11	0.7299270072992701	1.2160126742530818E-7	FBGN0086265, FBGN0086266, FBGN0014076, FBGN0003980, FBGN0004650, FBGN0000359, FBGN0040949, FBGN0003979, FBGN0039709, FBGN0261016, FBGN0085362	1167	14	10945	7.369017015546579	2.334471945441008E-4	5.83382080472916E-5	5.797340424501568E-5
KEGG_PATHWAY	dme00982:Drug metabolism - cytochrome P450	27	1.7916390179163904	1.3943337728804784E-7	FBGN0010040, FBGN0063497, FBGN0063495, FBGN0034354, FBGN0025814, FBGN0001149, FBGN0050000, FBGN0035907, FBGN0027590, FBGN0027073, FBGN0034335, FBGN0040251, FBGN0040091, FBGN0063494, FBGN0027070, FBGN0063493, FBGN0063492, FBGN0032713, FBGN0042206, FBGN0038020, FBGN0033817, FBGN0026314, FBGN0030484, FBGN0040260, FBGN0010038, FBGN0032684, FBGN0010039	439	67	3261	2.9934722741644855	1.7568452436167448E-5	2.9928242439312415E-6	2.2802470429952315E-6
KEGG_PATHWAY	dme01200:Carbon metabolism	39	2.5879230258792303	1.4251544018720197E-7	FBGN0038771, FBGN0086355, FBGN0002719, FBGN0262559, FBGN0032350, FBGN0036030, FBGN0001125, FBGN0023537, FBGN0034390, FBGN0004654, FBGN0001124, FBGN0027572, FBGN0001186, FBGN0038957, FBGN0029890, FBGN0014869, FBGN0035203, FBGN0032775, FBGN0037607, FBGN0014427, FBGN0030239, FBGN0036759, FBGN0036760, FBGN0039112, FBGN0038742, FBGN0037873, FBGN0029924, FBGN0262782, FBGN0023129, FBGN0029969, FBGN0034629, FBGN0034628, FBGN0250906, FBGN0050499, FBGN0050410, FBGN0000064, FBGN0027580, FBGN0032820, FBGN0033879	439	121	3261	2.39422805399198	1.795678552318769E-5	2.9928242439312415E-6	2.2802470429952315E-6
