category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	fdr
GO:0055085	1.2167248858293268e-16	1.0	77	257	transmembrane transport	BP	2.2996100342174275e-13
GO:0006749	1.8435533774738596e-11	1.0	21	42	glutathione metabolic process	BP	1.7421579417127973e-08
GO:0007304	5.872201648815489e-11	1.0	18	30	chorion-containing eggshell formation	BP	3.6994870387537584e-08
GO:0007305	4.270569291534551e-10	0.9999999999925882	11	13	vitelline membrane formation involved in chorion-containing eggshell formation	BP	2.0178439902500753e-07
GO:0007306	3.3607051720922656e-08	0.9999999989463823	10	13	eggshell chorion assembly	BP	1.2703465550508765e-05
GO:0006635	9.922829695620686e-07	0.9999998720904342	14	30	fatty acid beta-oxidation	BP	0.0003125691354120516
GO:0003333	1.049246077476996e-05	0.9999982096461921	14	35	amino acid transmembrane transport	BP	0.002832964409187889
GO:0030198	1.3157229286749958e-05	0.9999979139488531	13	31	extracellular matrix organization	BP	0.0029271468300756127
GO:0033540	1.3938794428931489e-05	0.9999997489118678	6	7	fatty acid beta-oxidation using acyl-CoA oxidase	BP	0.0029271468300756127
GO:0019991	8.546582201835918e-05	0.9999839431211414	12	34	septate junction assembly	BP	0.016153040361469886
GO:0035080	0.00013628918103402314	0.9999926708599413	6	9	heat shock-mediated polytene chromosome puffing	BP	0.023416959286754885
GO:0032222	0.00017000924740359885	0.9999840961060031	7	14	regulation of synaptic transmission, cholinergic	BP	0.02487609586045457
GO:0034475	0.000171843276422488	0.9999938222319853	5	7	U4 snRNA 3'-end processing	BP	0.02487609586045457
GO:0051085	0.00018426737674410792	0.9999653320174432	11	31	chaperone cofactor-dependent protein refolding	BP	0.02487609586045457
GO:0034620	0.0002580783693446753	0.9999679748996362	8	17	cellular response to unfolded protein	BP	0.03251787453742909
GO:0071028	0.00045826732800444917	0.9999900697092909	4	5	nuclear mRNA surveillance	BP	0.05101704101797406
GO:0034427	0.000458883437727809	0.9999748247814682	5	8	nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'	BP	0.05101704101797406
GO:1903818	0.0005329917360573084	0.9999347938827514	7	16	positive regulation of voltage-gated potassium channel activity	BP	0.05424316078650273
GO:0071816	0.0005453016163722497	0.9999649876855089	5	9	tail-anchored membrane protein insertion into ER membrane	BP	0.05424316078650273
GO:0030203	0.0007648443697743577	0.9999808710312152	4	5	glycosaminoglycan metabolic process	BP	0.0722777929436768
GO:0055070	0.000986008330141794	0.9998924015503777	6	13	copper ion homeostasis	BP	0.08874074971276145
GO:0046839	0.0012315371793753694	0.9999044472727763	5	9	phospholipid dephosphorylation	BP	0.105800239500884
GO:0007475	0.001289971939418754	0.9998104385053713	7	17	apposition of dorsal and ventral imaginal disc-derived wing surfaces	BP	0.1060020419783237
GO:0006094	0.001436124356183303	0.9998844501683682	5	9	gluconeogenesis	BP	0.11244608894106668
GO:0042026	0.0014873821288500886	0.9996532609271166	10	32	protein refolding	BP	0.11244608894106668
GO:0001666	0.001818749151984478	0.9995638042966701	10	32	response to hypoxia	BP	0.13220907297117937
GO:0006986	0.002043149748662166	0.9998988764294242	4	6	response to unfolded protein	BP	0.14302048240635162
GO:0007498	0.002337626547103	0.9991934245360989	15	62	mesoderm development	BP	0.1577897919294525
GO:0032543	0.002463935085211452	0.999059143566917	17	89	mitochondrial translation	BP	0.16058059693274634
GO:0016075	0.003160545784881088	0.9997870769885874	4	7	rRNA catabolic process	BP	0.19911438444750854
GO:0032981	0.0035232916288521457	0.9991113168584754	9	36	mitochondrial respiratory chain complex I assembly	BP	0.21480713479130825
GO:0009950	0.003733500184724705	0.9991882477927729	8	24	dorsal/ventral axis specification	BP	0.21525681791802903
GO:0007444	0.0037584523763465384	0.9990722092031767	9	30	imaginal disc development	BP	0.21525681791802903
GO:0009062	0.004465108142967041	0.999667247844788	4	7	fatty acid catabolic process	BP	0.23923644243239764
GO:0006865	0.0044719533484798325	0.9996665874082865	4	7	amino acid transport	BP	0.23923644243239764
GO:0160032	0.004582414759260659	0.9990885156693323	7	21	Toll receptor ligand protein activation cascade	BP	0.23923644243239764
GO:0006783	0.004683464746031065	0.9994045265373483	5	12	heme biosynthetic process	BP	0.23923644243239764
GO:0061355	0.005551819766372509	0.9995098310468447	4	8	Wnt protein secretion	BP	0.2761299831169485
GO:0009952	0.006240591359175314	0.9984769469442997	8	27	anterior/posterior pattern specification	BP	0.30242865817541903
GO:0005975	0.006761487147366362	0.9970774559452454	18	86	carbohydrate metabolic process	BP	0.31299318176956903
GO:0006465	0.006882743128726371	0.9993060041508264	4	9	signal peptide processing	BP	0.31299318176956903
GO:0035234	0.006955404039323756	0.9990245509939923	5	12	ectopic germ cell programmed cell death	BP	0.31299318176956903
GO:0061327	0.0073375400679871125	0.9989570492920359	5	12	anterior Malpighian tubule development	BP	0.3160833957638348
GO:0050767	0.007358555245295625	0.997940792271196	9	33	regulation of neurogenesis	BP	0.3160833957638348
GO:0006032	0.008354595978116228	0.9984125311964827	6	17	chitin catabolic process	BP	0.34774863970758185
GO:0009253	0.008463723506110457	0.998680567321432	5	14	peptidoglycan catabolic process	BP	0.34774863970758185
GO:0007155	0.009282463275557208	0.9968507515042854	11	46	cell adhesion	BP	0.3732735232085771
GO:0043928	0.00962499546766407	0.9994601453968146	3	5	exonucleolytic catabolism of deadenylated mRNA	BP	0.37639364954464377
GO:0007311	0.009924543225517205	0.999436806923956	3	5	maternal specification of dorsal/ventral axis, oocyte, germ-line encoded	BP	0.37639364954464377
GO:0009408	0.010158173881806214	0.9960848651424344	13	64	response to heat	BP	0.37639364954464377
GO:0006487	0.010312918756302941	0.9975239543958401	7	24	protein N-linked glycosylation	BP	0.37639364954464377
GO:0006750	0.010355804114455807	0.999402715694122	3	5	glutathione biosynthetic process	BP	0.37639364954464377
GO:0043277	0.011292596473111994	0.99867910433542	4	9	apoptotic cell clearance	BP	0.38017042629678627
GO:0009792	0.011426487853504325	0.9980778723783309	5	14	embryo development ending in birth or egg hatching	BP	0.38017042629678627
GO:0015810	0.011587488968520462	0.9993022681058841	3	5	aspartate transmembrane transport	BP	0.38017042629678627
GO:0006552	0.01175658007907371	0.999288132276728	3	5	leucine catabolic process	BP	0.38017042629678627
GO:0006574	0.012022359661335542	0.9992657489208552	3	5	valine catabolic process	BP	0.38017042629678627
GO:0006719	0.012182546505467871	0.9992521621000157	3	5	juvenile hormone catabolic process	BP	0.38017042629678627
GO:0015749	0.01230981386448112	0.999241316276662	3	5	monosaccharide transmembrane transport	BP	0.38017042629678627
GO:1904659	0.012471182600169986	0.9992274995578633	3	5	glucose transmembrane transport	BP	0.38017042629678627
GO:0055064	0.012471199169524206	0.9992274981354583	3	5	chloride ion homeostasis	BP	0.38017042629678627
GO:0055075	0.012471199169524206	0.9992274981354583	3	5	potassium ion homeostasis	BP	0.38017042629678627
GO:0097254	0.013334019770396839	0.9983590703318614	4	9	renal tubular secretion	BP	0.39966531915492537
GO:0006486	0.013533640436992182	0.9957346695799622	9	37	protein glycosylation	BP	0.39966531915492537
GO:0060857	0.01421760680303184	0.9968671383618944	6	19	establishment of glial blood-brain barrier	BP	0.41340425934969505
GO:0035151	0.015135267487914614	0.996577851663132	6	20	regulation of tube size, open tracheal system	BP	0.4293182700859814
GO:0006836	0.01563607151837476	0.9964790320768004	6	19	neurotransmitter transport	BP	0.4293182700859814
GO:0009636	0.015688559354168886	0.9971354514368442	5	14	response to toxic substance	BP	0.4293182700859814
GO:0015718	0.015861291579307806	0.9970956056423014	5	14	monocarboxylic acid transport	BP	0.4293182700859814
GO:0071051	0.015900676669851163	0.998726484075719	3	6	polyadenylation-dependent snoRNA 3'-end processing	BP	0.4293182700859814
GO:0003012	0.016371428657047486	0.9986738841281898	3	6	muscle system process	BP	0.43580281918055985
GO:0006729	0.017033835657876164	0.9985988312198539	3	6	tetrahydrobiopterin biosynthetic process	BP	0.4471381860192493
GO:0030239	0.01798530495656982	0.9965276164463592	5	15	myofibril assembly	BP	0.4508154886520251
GO:0008340	0.01804201132214592	0.9897174808207494	28	172	determination of adult lifespan	BP	0.4508154886520251
GO:0009416	0.01820441203269777	0.9950564264744067	7	25	response to light stimulus	BP	0.4508154886520251
GO:0071035	0.018599814679930066	0.9984167046974706	3	6	nuclear polyadenylation-dependent rRNA catabolic process	BP	0.4508154886520251
GO:0071038	0.018599814679930066	0.9984167046974706	3	6	nuclear polyadenylation-dependent tRNA catabolic process	BP	0.4508154886520251
GO:0010951	0.018605083658655003	0.9984160810043716	3	6	negative regulation of endopeptidase activity	BP	0.4508154886520251
GO:0018990	0.01921693941098987	0.9953639524046635	6	21	ecdysis, chitin-based cuticle	BP	0.4597470314781121
GO:0007229	0.01953246232054612	0.9971617473509333	4	10	integrin-mediated signaling pathway	BP	0.4614544223229021
GO:1990573	0.020114380897360225	0.9960001015705213	5	15	potassium ion import across plasma membrane	BP	0.46254366691821236
GO:0006820	0.02035449968606284	0.9943038888339856	7	26	anion transport	BP	0.46254366691821236
GO:0031638	0.02058537901428378	0.998176660092221	3	6	zymogen activation	BP	0.46254366691821236
GO:0010038	0.020998983762786947	0.9978150175097295	3	8	response to metal ion	BP	0.46254366691821236
GO:0016310	0.021019389091263156	0.9957709716097911	5	15	phosphorylation	BP	0.46254366691821236
GO:0045047	0.021126187938766704	0.9979260663748779	3	7	protein targeting to ER	BP	0.46254366691821236
GO:0007343	0.021500236680477756	0.9966642185493609	4	11	egg activation	BP	0.46254366691821236
GO:0015813	0.021536424703070205	0.9980582116231881	3	6	L-glutamate transmembrane transport	BP	0.46254366691821236
GO:0007620	0.022835331366139067	0.9978929276918184	3	6	copulation	BP	0.4795419586889385
GO:0042908	0.022835331366139928	0.9978929276918176	3	6	xenobiotic transport	BP	0.4795419586889385
GO:0042594	0.024292970028573398	0.98905643560839	14	72	response to starvation	BP	0.5045463005934475
GO:0033499	0.025399760760080235	0.9973194822203605	3	7	galactose catabolic process via UDP-galactose	BP	0.5168987254894245
GO:0097428	0.025455025945757347	0.9973113423467025	3	7	protein maturation by iron-sulfur cluster transfer	BP	0.5168987254894245
GO:0045333	0.025708190579897303	0.9972739608631482	3	7	cellular respiration	BP	0.5168987254894245
GO:0006520	0.02734228914936595	0.9954227120667836	4	11	cellular amino acid metabolic process	BP	0.5417476180115066
GO:0035025	0.02751733932756859	0.993950024497073	5	16	positive regulation of Rho protein signal transduction	BP	0.5417476180115066
GO:0071711	0.0285529397691767	0.9936590584121897	5	16	basement membrane organization	BP	0.5563407851932367
GO:0000467	0.030530024015093228	0.9965335912649357	3	7	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	BP	0.5887933202910837
GO:0006559	0.03153565696511438	0.9963726159070592	3	7	L-phenylalanine catabolic process	BP	0.6020443602430927
GO:0006884	0.03371650324312176	0.9960160603273687	3	7	cell volume homeostasis	BP	0.6310201087466227
GO:0045087	0.034025664867380345	0.9849649562144208	12	64	innate immune response	BP	0.6310201087466227
GO:0006644	0.03405505348791297	0.9904391951207111	6	23	phospholipid metabolic process	BP	0.6310201087466227
GO:0045743	0.03521464418479619	0.9957653395442242	3	7	positive regulation of fibroblast growth factor receptor signaling pathway	BP	0.6461716263035417
GO:0007297	0.03576359004774518	0.9932938554282658	4	12	ovarian follicle cell migration	BP	0.6499344729830615
GO:0007080	0.03685480007338496	0.9928705632789707	4	13	mitotic metaphase plate congression	BP	0.6579434018371707
GO:0031032	0.0371737254025884	0.9929411703874961	4	12	actomyosin structure organization	BP	0.6579434018371707
GO:0006936	0.037248647617236647	0.9929222998622386	4	12	muscle contraction	BP	0.6579434018371707
GO:0045455	0.03963720548268446	0.9923138481083059	4	12	ecdysteroid metabolic process	BP	0.6936510959469779
GO:0006631	0.04035451885358594	0.9896184928484236	5	21	fatty acid metabolic process	BP	0.6997251434245635
GO:0007031	0.04176022579275975	0.9894380392063009	5	18	peroxisome organization	BP	0.7158433164430523
GO:0016042	0.04204159160062371	0.9834554452754722	9	44	lipid catabolic process	BP	0.7158433164430523
GO:0006805	0.04304578523795889	0.9912398582586094	4	13	xenobiotic metabolic process	BP	0.7263976258905563
GO:0030488	0.045445348724192806	0.988112374913914	5	19	tRNA methylation	BP	0.7601036202541983
GO:0009612	0.04603209756416479	0.9904225221474026	4	13	response to mechanical stimulus	BP	0.7609811188410419
GO:0042574	0.046303083950645404	0.993397602156209	3	8	retinal metabolic process	BP	0.7609811188410419
GO:0006096	0.049461766149956614	0.9845842900862509	6	25	glycolytic process	BP	0.8058856726156723
GO:0034553	0.05053015428140326	0.995969104799708	2	5	mitochondrial respiratory chain complex II assembly	BP	0.8162563383918988
GO:0006121	0.05106075502582157	0.9921025795867664	3	9	mitochondrial electron transport, succinate to ubiquinone	BP	0.8178375169390066
GO:0010496	0.05310240862226122	0.9919870210527414	3	8	intercellular transport	BP	0.8433911957653253
GO:0044331	0.05688891014928163	0.987077741840298	4	14	cell-cell adhesion mediated by cadherin	BP	0.8960003348511857
GO:0007156	0.05910536602231403	0.9751187936342516	9	45	homophilic cell adhesion via plasma membrane adhesion molecules	BP	0.9212400445595198
GO:0045861	0.05946628859061451	0.9829334969314063	5	21	negative regulation of proteolysis	BP	0.9212400445595198
GO:0006697	0.059998461719055506	0.9861242833465014	4	14	ecdysone biosynthetic process	BP	0.9219275825123163
GO:0061024	0.060638672706015216	0.9826292732591779	5	20	membrane organization	BP	0.9242507372126513
GO:0006888	0.06323027117598432	0.9700889148405492	11	64	endoplasmic reticulum to Golgi vesicle-mediated transport	BP	0.9560417001808827
GO:0030513	0.06541547826975017	0.9807003837184812	5	21	positive regulation of BMP signaling pathway	BP	0.9769877532327136
GO:0050790	0.06578834546554016	0.9939008940216097	2	5	regulation of catalytic activity	BP	0.9769877532327136
GO:0048512	0.06665878231893854	0.9884781270199657	3	9	circadian behavior	BP	0.9769877532327136
GO:0008219	0.0666832910936614	0.980215905292757	5	21	cell death	BP	0.9769877532327136
GO:0055065	0.07155582228240068	0.9924711264566181	2	6	metal ion homeostasis	BP	1.0
GO:0008366	0.07386462852248953	0.9866637342337803	3	9	axon ensheathment	BP	1.0
GO:0007187	0.07386582148935132	0.9866634268668389	3	9	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	BP	1.0
GO:0032469	0.07627383634983251	0.9922967459821106	2	5	endoplasmic reticulum calcium ion homeostasis	BP	1.0
GO:0046835	0.07842530355940933	0.9798385990312133	4	15	carbohydrate phosphorylation	BP	1.0
GO:0046512	0.07937127174642172	0.991795488366546	2	5	sphingosine biosynthetic process	BP	1.0
GO:0007632	0.0809873441270196	0.9789453391569358	4	15	visual behavior	BP	1.0
GO:0032259	0.0810195390886554	0.9915237460083429	2	5	methylation	BP	1.0
GO:0008362	0.08108633029012158	0.9789106088188736	4	15	chitin-based embryonic cuticle biosynthetic process	BP	1.0
GO:0009086	0.08774891682004622	0.9903786637481656	2	5	methionine biosynthetic process	BP	1.0
GO:0051482	0.08806306899669643	0.9903238198778926	2	5	positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway	BP	1.0
GO:0007169	0.08840988237371958	0.9643208396999673	7	35	transmembrane receptor protein tyrosine kinase signaling pathway	BP	1.0
GO:0045995	0.09063050143073637	0.9815955278575916	3	10	regulation of embryonic development	BP	1.0
GO:0015914	0.09119322322563464	0.9814313520916709	3	10	phospholipid transport	BP	1.0
GO:0044319	0.09171243532073967	0.9896777422254147	2	5	wound healing, spreading of cells	BP	1.0
GO:0006665	0.09176576544536791	0.981263820270607	3	10	sphingolipid metabolic process	BP	1.0
GO:0035162	0.0952424349370132	0.9890371602923824	2	5	embryonic hemopoiesis	BP	1.0
GO:0034446	0.09530687191164067	0.9802167207906558	3	10	substrate adhesion-dependent cell spreading	BP	1.0
GO:0032922	0.09658612357738329	0.979833851008319	3	10	circadian regulation of gene expression	BP	1.0
GO:0030050	0.09684646577132036	0.9797556357528178	3	10	vesicle transport along actin filament	BP	1.0
GO:0048137	0.09697848986207483	0.972823840010601	4	16	spermatocyte division	BP	1.0
GO:0070125	0.09876998102544143	0.9883817928237483	2	5	mitochondrial translational elongation	BP	1.0
GO:0035159	0.09995537976947172	0.9619009524478672	6	29	regulation of tube length, open tracheal system	BP	1.0
GO:0006099	0.10050965837699508	0.957938998832176	7	37	tricarboxylic acid cycle	BP	1.0
GO:0042273	0.10146544694779311	0.9705760214574992	4	18	ribosomal large subunit biogenesis	BP	1.0
GO:0015746	0.10223785052918943	0.9877227860503083	2	5	citrate transport	BP	1.0
GO:0006120	0.10246893270963942	0.9699608172823434	4	19	mitochondrial electron transport, NADH to ubiquinone	BP	1.0
GO:0035239	0.10273557329254838	0.9876270108102068	2	5	tube morphogenesis	BP	1.0
GO:0002347	0.10324325795972977	0.9875290113211315	2	5	response to tumor cell	BP	1.0
GO:0015842	0.10324434667536575	0.9875288008307109	2	5	aminergic neurotransmitter loading into synaptic vesicle	BP	1.0
GO:0030258	0.10324434667538258	0.9875288008306943	2	5	lipid modification	BP	1.0
GO:0010636	0.10324434667545378	0.9875288008307056	2	5	positive regulation of mitochondrial fusion	BP	1.0
GO:0055088	0.10964047738926208	0.9498897792941097	8	44	lipid homeostasis	BP	1.0
GO:0016055	0.11077754787747066	0.9748768189120396	3	11	Wnt signaling pathway	BP	1.0
GO:0030031	0.11541735943343825	0.9652315773674695	4	17	cell projection assembly	BP	1.0
GO:0007059	0.11586843228456001	0.9496560650237709	7	38	chromosome segregation	BP	1.0
GO:0045456	0.11706228632875974	0.9835431536812437	2	6	ecdysteroid biosynthetic process	BP	1.0
GO:0006979	0.11734542111479937	0.9322404465188378	14	94	response to oxidative stress	BP	1.0
GO:0048132	0.11794325940504369	0.9641891412287368	4	17	female germ-line stem cell asymmetric division	BP	1.0
GO:0006833	0.11925864032055514	0.9830449273202528	2	6	water transport	BP	1.0
GO:0120009	0.11953302768490762	0.9632273417622299	4	18	intermembrane lipid transfer	BP	1.0
GO:0007160	0.11957223952792423	0.9635120353696083	4	17	cell-matrix adhesion	BP	1.0
GO:0042149	0.12016558160709158	0.982837443574226	2	6	cellular response to glucose starvation	BP	1.0
GO:0046928	0.12436669938875525	0.9611813410423722	4	18	regulation of neurotransmitter secretion	BP	1.0
GO:0009951	0.1294084383435747	0.9806649162644727	2	6	polarity specification of dorsal/ventral axis	BP	1.0
GO:0035167	0.129969192613123	0.9462181564608929	6	32	larval lymph gland hemopoiesis	BP	1.0
GO:0031116	0.13045725002322578	0.9804117533863778	2	6	positive regulation of microtubule polymerization	BP	1.0
GO:0060438	0.13283515422175898	0.9667452601773138	3	12	trachea development	BP	1.0
GO:0016226	0.13302482633444843	0.956863099296533	4	20	iron-sulfur cluster assembly	BP	1.0
GO:0006633	0.13376065921488595	0.9439114195598071	6	34	fatty acid biosynthetic process	BP	1.0
GO:0002213	0.13399417744808764	0.9778094540970099	2	8	defense response to insect	BP	1.0
GO:0007275	0.13402665660614593	0.9658341407638271	3	13	multicellular organism development	BP	1.0
GO:0032837	0.1377117475476377	0.9786238723174115	2	6	distributive segregation	BP	1.0
