	Category	Term	Description	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	Mean_Gene_Len	Stdv_Gene_Len
0	GOTERM_BP_DIRECT	GO:0098609	cell-cell adhesion	5	4.42478	0.00061	FBGN0262509, FBGN0039431, FBGN0035101, FBGN0261574, FBGN0031872	92	47	10945	12.65611	0.21704	0.244	0.244	5498.8	4796.82467
1	GOTERM_BP_DIRECT	GO:0045886	negative regulation of synaptic growth at neuromuscular junction	4	3.53982	0.0054	FBGN0039431, FBGN0020493, FBGN0261041, FBGN0038826	92	43	10945	11.06673	0.88703	1.0	1.0	4933.0	1148.92167
2	GOTERM_BP_DIRECT	GO:0007379	segment specification	3	2.65487	0.01179	FBGN0031872, FBGN0000015, FBGN0016977	92	20	10945	17.84511	0.99159	1.0	1.0	8711.33333	7112.71333
3	GOTERM_BP_DIRECT	GO:0016477	cell migration	4	3.53982	0.01292	FBGN0035101, FBGN0020493, FBGN0003254, FBGN0031981	92	59	10945	8.06559	0.99471	1.0	1.0	5169.0	2814.13059
4	GOTERM_BP_DIRECT	GO:0007616	long-term memory	4	3.53982	0.02442	FBGN0028397, FBGN0034443, FBGN0000108, FBGN0037705	92	75	10945	6.34493	0.99995	1.0	1.0	3991.75	2044.74269
5	GOTERM_BP_DIRECT	GO:0098730	male germline stem cell symmetric division	2	1.76991	0.03285	FBGN0004581, FBGN0000158	92	4	10945	59.4837	1.0	1.0	1.0	3048.5	1102.5
6	GOTERM_BP_DIRECT	GO:0065003	macromolecular complex assembly	2	1.76991	0.04089	FBGN0029676	92	5	10945	47.58696	1.0	1.0	1.0	2052.0	0.0
7	GOTERM_BP_DIRECT	GO:0030718	germ-line stem cell population maintenance	3	2.65487	0.04749	FBGN0020493, FBGN0004581, FBGN0000158	92	42	10945	8.49767	1.0	1.0	1.0	3267.0	951.74682
8	GOTERM_BP_DIRECT	GO:0006355	regulation of transcription, DNA-templated	7	6.19469	0.04773	FBGN0027620, FBGN0034062, FBGN0031715, FBGN0020493, FBGN0003254, FBGN0020379, FBGN0016977	92	316	10945	2.63535	1.0	1.0	1.0	5533.71429	5572.64092
9	GOTERM_BP_DIRECT	GO:0017148	negative regulation of translation	3	2.65487	0.05589	FBGN0004581, FBGN0000810, FBGN0000158	92	46	10945	7.75874	1.0	1.0	1.0	3049.66667	900.18899
10	GOTERM_BP_DIRECT	GO:0007399	nervous system development	4	3.53982	0.05951	FBGN0027620, FBGN0004607, FBGN0020379, FBGN0263873	92	107	10945	4.44738	1.0	1.0	1.0	5156.0	3751.40967
11	GOTERM_BP_DIRECT	GO:0007282	cystoblast division	2	1.76991	0.06463	FBGN0004581, FBGN0000158	92	8	10945	29.74185	1.0	1.0	1.0	3048.5	1102.5
12	GOTERM_BP_DIRECT	GO:0010468	regulation of gene expression	4	3.53982	0.06498	FBGN0034062, FBGN0037794, FBGN0033185, FBGN0028397	92	111	10945	4.28711	1.0	1.0	1.0	2741.75	1223.20264
13	GOTERM_BP_DIRECT	GO:0048749	compound eye development	4	3.53982	0.07067	FBGN0261617, FBGN0031872, FBGN0043362, FBGN0016977	92	115	10945	4.138	1.0	1.0	1.0	11957.75	5579.02372
14	GOTERM_BP_DIRECT	GO:0007409	axonogenesis	3	2.65487	0.08629	FBGN0259108, FBGN0000108, FBGN0263873	92	59	10945	6.04919	1.0	1.0	1.0	8915.0	8664.03882
15	GOTERM_BP_DIRECT	GO:0032418	lysosome localization	2	1.76991	0.08779	FBGN0024985, FBGN0043362	92	11	10945	21.63043	1.0	1.0	1.0	7941.5	4213.5
16	GOTERM_BP_DIRECT	GO:0050808	synapse organization	3	2.65487	0.09132	FBGN0000108, FBGN0004449, FBGN0085382	92	61	10945	5.85086	1.0	1.0	1.0	7371.0	3250.61789
17	GOTERM_BP_DIRECT	GO:0007269	neurotransmitter secretion	3	2.65487	0.09645	FBGN0261617, FBGN0035756, FBGN0030613	92	63	10945	5.66511	1.0	1.0	1.0	9456.0	2987.77386
