	Category	Term	Description	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	Mean_Gene_Len	Stdv_Gene_Len
0	GOTERM_BP_DIRECT	GO:0006986	response to unfolded protein	5	2.87356	0.0	FBGN0013276, FBGN0013277, FBGN0013278, FBGN0013275	141	8	10945	48.51507	0.00082	0.00035	0.00035	2357.0	23.11926
1	GOTERM_BP_DIRECT	GO:0034620	cellular response to unfolded protein	6	3.44828	0.0	FBGN0013276, FBGN0013277, FBGN0013278, FBGN0001230, FBGN0013275	141	17	10945	27.39675	0.00082	0.00035	0.00035	2331.8	54.47715
2	GOTERM_BP_DIRECT	GO:0051085	chaperone mediated protein folding requiring cofactor	7	4.02299	0.0	FBGN0013276, FBGN0013277, FBGN0013278, FBGN0001230, FBGN0013275, FBGN0263106	141	31	10945	17.52803	0.00105	0.00035	0.00035	1943.16667	870.43235
3	GOTERM_BP_DIRECT	GO:0035080	heat shock-mediated polytene chromosome puffing	5	2.87356	0.0	FBGN0013276, FBGN0013277, FBGN0013278, FBGN0013275	141	9	10945	43.12451	0.00145	0.00036	0.00036	2357.0	23.11926
4	GOTERM_BP_DIRECT	GO:0006749	glutathione metabolic process	7	4.02299	2e-05	FBGN0031117, FBGN0063495, FBGN0034354, FBGN0034335, FBGN0063494, FBGN0063491, FBGN0030932	141	45	10945	12.07486	0.01001	0.00201	0.002	1047.71429	523.46666
5	GOTERM_BP_DIRECT	GO:0042026	protein refolding	6	3.44828	5e-05	FBGN0013276, FBGN0013277, FBGN0013278, FBGN0001230, FBGN0013275	141	32	10945	14.55452	0.02273	0.00382	0.00381	2331.8	54.47715
6	GOTERM_BP_DIRECT	GO:0001666	response to hypoxia	6	3.44828	8e-05	FBGN0013276, FBGN0013277, FBGN0013278, FBGN0013275, FBGN0003714	141	35	10945	13.30699	0.03531	0.00512	0.0051	2111.4	491.63507
7	GOTERM_BP_DIRECT	GO:0009408	response to heat	7	4.02299	0.00019	FBGN0013276, FBGN0013277, FBGN0013278, FBGN0013275, FBGN0034335, FBGN0263106	141	66	10945	8.23286	0.08609	0.01123	0.01118	1709.83333	946.33634
8	GOTERM_BP_DIRECT	GO:0016192	vesicle-mediated transport	7	4.02299	0.01142	FBGN0013276, FBGN0013277, FBGN0013278, FBGN0001230, FBGN0028400, FBGN0013275	141	147	10945	3.69639	0.99564	0.59917	0.59663	2114.66667	488.06511
9	GOTERM_BP_DIRECT	GO:0030036	actin cytoskeleton organization	5	2.87356	0.01349	FBGN0243512, FBGN0000182, FBGN0024189, FBGN0263706, FBGN0250819	141	72	10945	5.39056	0.99838	0.63662	0.63392	4986.6	2583.08022
10	GOTERM_BP_DIRECT	GO:0006032	chitin catabolic process	3	1.72414	0.01734	FBGN0013763, FBGN0022702, FBGN0020415	141	16	10945	14.55452	0.99974	0.74385	0.7407	1764.0	232.21255
11	GOTERM_BP_DIRECT	GO:0005975	carbohydrate metabolic process	5	2.87356	0.0323	FBGN0013763, FBGN0050359, FBGN0022702, FBGN0001128, FBGN0020415	141	94	10945	4.12894	1.0	1.0	0.99788	1847.2	211.822
12	GOTERM_BP_DIRECT	GO:0061088	regulation of sequestering of zinc ion	2	1.14943	0.03789	FBGN0025693, FBGN0028516	141	3	10945	51.74941	1.0	1.0	0.99788	1943.5	167.5
13	GOTERM_BP_DIRECT	GO:0035046	pronuclear migration	2	1.14943	0.0502	FBGN0260780, FBGN0087040	141	4	10945	38.81206	1.0	1.0	0.99788	3403.5	1786.5
14	GOTERM_BP_DIRECT	GO:0035044	sperm aster formation	2	1.14943	0.0502	FBGN0260780, FBGN0087040	141	4	10945	38.81206	1.0	1.0	0.99788	3403.5	1786.5
15	GOTERM_BP_DIRECT	GO:0007444	imaginal disc development	3	1.72414	0.05934	FBGN0010470, FBGN0013763, FBGN0020415	141	31	10945	7.51201	1.0	1.0	0.99788	1507.0	150.22871
16	KEGG_PATHWAY	dme04144:Endocytosis		6	3.44828	0.06144	FBGN0013276, FBGN0013277, FBGN0013278, FBGN0001230, FBGN0013275	57	125	3261	2.74611	0.98659	0.37687	0.34409	2331.8	54.47715
17	KEGG_PATHWAY	dme03040:Spliceosome		6	3.44828	0.08193	FBGN0013276, FBGN0013277, FBGN0013278, FBGN0001230, FBGN0013275	57	136	3261	2.52399	0.99701	0.37687	0.34409	2331.8	54.47715
18	GOTERM_BP_DIRECT	GO:0007277	pole cell development	2	1.14943	0.0862	FBGN0263594, FBGN0016053	141	7	10945	22.17832	1.0	1.0	0.99788	1291.0	445.0
19	GOTERM_BP_DIRECT	GO:0048134	germ-line cyst formation	2	1.14943	0.0862	FBGN0016053, FBGN0000405	141	7	10945	22.17832	1.0	1.0	0.99788	1718.5	872.5
20	GOTERM_BP_DIRECT	GO:0019094	pole plasm mRNA localization	2	1.14943	0.09789	FBGN0263594, FBGN0003655	141	8	10945	19.40603	1.0	1.0	0.99788	2285.0	549.0
21	GOTERM_BP_DIRECT	GO:0006164	purine nucleotide biosynthetic process	2	1.14943	0.09789	FBGN0000053, FBGN0036030	141	8	10945	19.40603	1.0	1.0	0.99788	2798.5	785.5
22	KEGG_PATHWAY	dme01230:Biosynthesis	of	9	5.17241	2e-05	FBGN0032350, FBGN0001142, FBGN0000064, FBGN0014869, FBGN0027580, FBGN0036030, FBGN0001125, FBGN0014427, FBGN0000566	57	68	3261	7.57198	0.00103	0.00104	0.00095	2970.77778	3078.97655
23	KEGG_PATHWAY	dme04213:Longevity	regulating	7	4.02299	0.0003	FBGN0013276, FBGN0013277, FBGN0013278, FBGN0001230, FBGN0013275, FBGN0033631	57	55	3261	7.28134	0.01992	0.00768	0.00702	2144.16667	422.4979
24	KEGG_PATHWAY	dme00480:Glutathione	metabolism	8	4.5977	0.00033	FBGN0031117, FBGN0063495, FBGN0034354, FBGN0034335, FBGN0063494, FBGN0025814, FBGN0063491, FBGN0030932	57	79	3261	5.79347	0.02247	0.00768	0.00702	1008.5	500.52922
25	KEGG_PATHWAY	dme00982:Drug	metabolism	7	4.02299	0.00087	FBGN0031117, FBGN0063495, FBGN0034354, FBGN0034335, FBGN0063494, FBGN0025814, FBGN0063491	57	67	3261	5.97722	0.0574	0.0108	0.00986	823.42857	110.94124
26	KEGG_PATHWAY	dme01200:Carbon	metabolism	9	5.17241	0.00091	FBGN0034628, FBGN0032350, FBGN0000064, FBGN0014869, FBGN0027580, FBGN0036030, FBGN0001125, FBGN0014427, FBGN0034390	57	121	3261	4.25533	0.05986	0.0108	0.00986	2987.66667	3079.81774
27	KEGG_PATHWAY	dme00980:Metabolism	of	7	4.02299	0.00102	FBGN0031117, FBGN0063495, FBGN0034354, FBGN0034335, FBGN0063494, FBGN0025814, FBGN0063491	57	69	3261	5.80397	0.06682	0.0108	0.00986	823.42857	110.94124
28	KEGG_PATHWAY	dme00983:Drug	metabolism	8	4.5977	0.0011	FBGN0031117, FBGN0063495, FBGN0034354, FBGN0034335, FBGN0038349, FBGN0063494, FBGN0025814, FBGN0063491	57	96	3261	4.76754	0.07185	0.0108	0.00986	1265.75	1174.86475
29	KEGG_PATHWAY	dme01100:Metabolic	pathways	31	17.81609	0.00371	FBGN0036551, FBGN0063495, FBGN0032350, FBGN0038237, FBGN0038115, FBGN0034354, FBGN0022702, FBGN0036030, FBGN0001125, FBGN0025814, FBGN0034390, FBGN0000053, FBGN0001142, FBGN0034335, FBGN0014869, FBGN0034997, FBGN0063494, FBGN0014427, FBGN0030932, FBGN0032779, FBGN0032955, FBGN0063491, FBGN0000566, FBGN0034628, FBGN0031117, FBGN0036927, FBGN0051021, FBGN0000064, FBGN0027580, FBGN0038349, FBGN0036824	57	1153	3261	1.53818	0.22315	0.03197	0.02919	2246.51613	2046.88044
30	KEGG_PATHWAY	dme00260:Glycine,	serine	4	2.29885	0.01048	FBGN0032350, FBGN0014869, FBGN0014427, FBGN0000566	57	27	3261	8.47563	0.51149	0.08035	0.07336	3770.75	4356.3505
31	KEGG_PATHWAY	dme00270:Cysteine	and	4	2.29885	0.02295	FBGN0032350, FBGN0001125, FBGN0014427, FBGN0000566	57	36	3261	6.35673	0.79378	0.15836	0.14459	3896.0	4283.3763
32	KEGG_PATHWAY	dme00410:beta-Alanine	metabolism	3	1.72414	0.06755	FBGN0034628, FBGN0036927, FBGN0034390	57	25	3261	6.86526	0.9914	0.37687	0.34409	1840.0	459.04756
33	KEGG_PATHWAY	dme00640:Propanoate	metabolism	3	1.72414	0.07735	FBGN0034628, FBGN0036927, FBGN0034390	57	27	3261	6.35673	0.99581	0.37687	0.34409	1840.0	459.04756
34	KEGG_PATHWAY	dme04141:Protein	processing	6	3.44828	0.07993	FBGN0013276, FBGN0013277, FBGN0013278, FBGN0001230, FBGN0013275	57	135	3261	2.54269	0.99653	0.37687	0.34409	2331.8	54.47715
35	KEGG_PATHWAY	dme00250:Alanine,	aspartate	3	1.72414	0.08756	FBGN0036927, FBGN0001142, FBGN0001125	57	29	3261	5.91833	0.99803	0.37761	0.34477	1838.33333	213.96625
