	Category	Term	Description	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	Mean_Gene_Len	Stdv_Gene_Len
0	GOTERM_BP_DIRECT	GO:0006334	nucleosome assembly	72	10.71429	0.0	FBGN0053908, FBGN0030054, FBGN0053890, FBGN0053897, FBGN0053896, FBGN0053874, FBGN0053910, FBGN0053898, FBGN0053876, FBGN0051611, FBGN0267366, FBGN0053893, FBGN0053892, FBGN0053870, FBGN0053895, FBGN0053872, FBGN0053894, FBGN0053878, FBGN0053880, FBGN0061209, FBGN0053886, FBGN0027620, FBGN0053888, FBGN0053882, FBGN0053884, FBGN0053904, FBGN0053827, FBGN0053906, FBGN0053868, FBGN0053901, FBGN0053900, FBGN0053902	544	129	10945	11.22948	0.0	0.0	0.0	828.0625	979.13801
1	GOTERM_BP_DIRECT	GO:0006333	chromatin assembly or disassembly	24	3.57143	0.0	FBGN0053908, FBGN0053880, FBGN0053890, FBGN0061209, FBGN0053886, FBGN0027620, FBGN0053896, FBGN0053874, FBGN0053910, FBGN0053888, FBGN0053898, FBGN0053876, FBGN0053882, FBGN0053892, FBGN0053870, FBGN0053884, FBGN0053872, FBGN0053894, FBGN0053904, FBGN0053906, FBGN0053868, FBGN0053900, FBGN0053878, FBGN0053902	544	29	10945	16.65061	0.0	0.0	0.0	781.83333	896.02119
2	GOTERM_BP_DIRECT	GO:0006352	DNA-templated transcription, initiation	26	3.86905	0.0	FBGN0053897, FBGN0051611, FBGN0053893, FBGN0053895, FBGN0038499, FBGN0004372, FBGN0261793, FBGN0053901	544	38	10945	13.76596	0.0	0.0	0.0	1834.75	2460.82876
3	GOTERM_BP_DIRECT	GO:0006325	chromatin organization	31	4.6131	0.0	FBGN0053908, FBGN0260397, FBGN0053890, FBGN0003567, FBGN0003862, FBGN0053897, FBGN0053896, FBGN0053874, FBGN0053910, FBGN0053898, FBGN0053876, FBGN0051611, FBGN0053893, FBGN0053892, FBGN0053870, FBGN0053895, FBGN0053872, FBGN0053894, FBGN0004372, FBGN0053878, FBGN0061200, FBGN0041210, FBGN0053880, FBGN0005617, FBGN0061209, FBGN0053886, FBGN0053888, FBGN0053882, FBGN0053884, FBGN0053904, FBGN0053906, FBGN0053868, FBGN0053901, FBGN0053900, FBGN0053902	544	122	10945	5.11233	0.0	0.0	0.0	1600.45714	2566.95886
4	GOTERM_BP_DIRECT	GO:0045892	negative regulation of transcription, DNA-templated	21	3.125	1e-05	FBGN0037794, FBGN0039585, FBGN0014340, FBGN0033782, FBGN0033233, FBGN0266557, FBGN0003567, FBGN0053182, FBGN0004656, FBGN0027620, FBGN0026411, FBGN0026577, FBGN0010825, FBGN0002441, FBGN0004861, FBGN0031610, FBGN0030520, FBGN0004860, FBGN0004110, FBGN0052529, FBGN0032475	544	137	10945	3.08401	0.01809	0.00327	0.00326	4185.33333	2542.69376
5	GOTERM_BP_DIRECT	GO:0048666	neuron development	8	1.19048	1e-05	FBGN0025800, FBGN0024326, FBGN0086758, FBGN0033159, FBGN0250788, FBGN0043362, FBGN0010768, FBGN0000611	544	18	10945	8.94199	0.01944	0.00327	0.00326	5897.75	3086.68178
6	GOTERM_BP_DIRECT	GO:0007411	axon guidance	23	3.42262	4e-05	FBGN0015774, FBGN0011260, FBGN0038853, FBGN0010341, FBGN0025800, FBGN0002306, FBGN0266557, FBGN0046704, FBGN0000017, FBGN0020238, FBGN0004885, FBGN0030600, FBGN0004103, FBGN0000464, FBGN0005631, FBGN0264089, FBGN0263391, FBGN0004055, FBGN0025740, FBGN0027491, FBGN0033159, FBGN0250788, FBGN0033987	544	172	10945	2.6904	0.05543	0.00814	0.00811	5527.69565	3257.3207
7	GOTERM_BP_DIRECT	GO:0007399	nervous system development	15	2.23214	0.0008	FBGN0041585, FBGN0004607, FBGN0004606, FBGN0020379, FBGN0002932, FBGN0027620, FBGN0266521, FBGN0004103, FBGN0000464, FBGN0025740, FBGN0278604, FBGN0016917, FBGN0250788, FBGN0259168, FBGN0033636	544	107	10945	2.82049	0.67216	0.13925	0.13875	5480.13333	2623.19212
8	GOTERM_BP_DIRECT	GO:0006355	regulation of transcription, DNA-templated	30	4.46429	0.00103	FBGN0039124, FBGN0038550, FBGN0039602, FBGN0014340, FBGN0036398, FBGN0039863, FBGN0037060, FBGN0260397, FBGN0262656, FBGN0028647, FBGN0261885, FBGN0004656, FBGN0050169, FBGN0005386, FBGN0053554, FBGN0001185, FBGN0011481, FBGN0261239, FBGN0261934, FBGN0061200, FBGN0041210, FBGN0041111, FBGN0054031, FBGN0020379, FBGN0027620, FBGN0028852, FBGN0265630, FBGN0031715, FBGN0003254, FBGN0038547	544	316	10945	1.91008	0.76189	0.15925	0.15868	4707.46667	3016.17838
9	GOTERM_BP_DIRECT	GO:0008045	motor neuron axon guidance	12	1.78571	0.00123	FBGN0015774, FBGN0030090, FBGN0004885, FBGN0000464, FBGN0005631, FBGN0010341, FBGN0025740, FBGN0027491, FBGN0264975, FBGN0004606, FBGN0004449, FBGN0000017	544	76	10945	3.17676	0.82248	0.17263	0.17202	6114.33333	2669.36208
