	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	fdr	Mean_Gene_Len	Stdv_Gene_Len
0	GO:0055085	1.21672e-16	1.00000e+00	77	257	transmembrane transport	BP	2.29961e-13	2.75846e+03	1.37603e+03
1	GO:0006749	1.84355e-11	1.00000e+00	21	42	glutathione metabolic process	BP	1.74216e-08	1.12848e+03	7.17955e+02
2	GO:0007304	5.87220e-11	1.00000e+00	18	30	chorion-containing eggshell formation	BP	3.69949e-08	3.01040e+03	2.23598e+03
3	GO:0007305	4.27057e-10	1.00000e+00	11	13	vitelline membrane formation involved in chorion-containing eggshell formation	BP	2.01784e-07	2.76031e+03	2.41081e+03
4	GO:0007306	3.36071e-08	1.00000e+00	10	13	eggshell chorion assembly	BP	1.27035e-05	2.60715e+03	2.11494e+03
5	GO:0006635	9.92283e-07	1.00000e+00	14	30	fatty acid beta-oxidation	BP	3.12569e-04	2.51777e+03	3.44927e+03
6	GO:0003333	1.04925e-05	9.99998e-01	14	35	amino acid transmembrane transport	BP	2.83296e-03	2.60563e+03	1.13227e+03
7	GO:0030198	1.31572e-05	9.99998e-01	13	31	extracellular matrix organization	BP	2.92715e-03	4.04377e+03	1.75742e+03
8	GO:0033540	1.39388e-05	1.00000e+00	6	7	fatty acid beta-oxidation using acyl-CoA oxidase	BP	2.92715e-03	2.35014e+03	1.27917e+02
9	GO:0019991	8.54658e-05	9.99984e-01	12	34	septate junction assembly	BP	1.61530e-02	2.57429e+03	2.32844e+03
10	GO:0035080	1.36289e-04	9.99993e-01	6	9	heat shock-mediated polytene chromosome puffing	BP	2.34170e-02	2.76156e+03	1.07005e+03
11	GO:0032222	1.70009e-04	9.99984e-01	7	14	regulation of synaptic transmission, cholinergic	BP	2.48761e-02	1.37621e+03	1.07620e+03
12	GO:0034475	1.71843e-04	9.99994e-01	5	7	U4 snRNA 3'-end processing	BP	2.48761e-02	1.08757e+03	2.54347e+02
13	GO:0051085	1.84267e-04	9.99965e-01	11	31	chaperone cofactor-dependent protein refolding	BP	2.48761e-02	1.78810e+03	7.52195e+02
14	GO:0034620	2.58078e-04	9.99968e-01	8	17	cellular response to unfolded protein	BP	3.25179e-02	2.23565e+03	4.15941e+02
15	GO:0071028	4.58267e-04	9.99990e-01	4	5	nuclear mRNA surveillance	BP	5.10170e-02	1.11660e+03	2.91867e+02
16	GO:0034427	4.58883e-04	9.99975e-01	5	8	nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'	BP	5.10170e-02	1.42550e+03	9.25190e+02
17	GO:1903818	5.32992e-04	9.99935e-01	7	16	positive regulation of voltage-gated potassium channel activity	BP	5.42432e-02	1.92588e+03	1.81672e+03
18	GO:0071816	5.45302e-04	9.99965e-01	5	9	tail-anchored membrane protein insertion into ER membrane	BP	5.42432e-02	1.07022e+03	7.65079e+02
19	GO:0030203	7.64844e-04	9.99981e-01	4	5	glycosaminoglycan metabolic process	BP	7.22778e-02	2.10340e+03	4.52073e+02
20	GO:0055070	9.86008e-04	9.99892e-01	6	13	copper ion homeostasis	BP	8.87407e-02	1.92023e+03	1.28881e+03
21	GO:0046839	1.23154e-03	9.99904e-01	5	9	phospholipid dephosphorylation	BP	1.05800e-01	1.56633e+03	5.02989e+02
22	GO:0007475	1.28997e-03	9.99810e-01	7	17	apposition of dorsal and ventral imaginal disc-derived wing surfaces	BP	1.06002e-01	6.40576e+03	1.28710e+04
23	GO:0006094	1.43612e-03	9.99884e-01	5	9	gluconeogenesis	BP	1.12446e-01	2.07289e+03	9.55431e+02
24	GO:0042026	1.48738e-03	9.99653e-01	10	32	protein refolding	BP	1.12446e-01	1.80188e+03	6.49931e+02
25	GO:0001666	1.81875e-03	9.99564e-01	10	32	response to hypoxia	BP	1.32209e-01	2.71512e+03	1.50657e+03
26	GO:0006986	2.04315e-03	9.99899e-01	4	6	response to unfolded protein	BP	1.43020e-01	2.47267e+03	8.16148e+02
