	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	fdr	mean	stdv
0	GO:0055085	1.2167248858293268e-16	1.0	77	257	transmembrane transport	BP	2.299610034217428e-13	2758.463035019455	1376.0343515230038
1	GO:0006749	1.84355337747386e-11	1.0	21	42	glutathione metabolic process	BP	1.7421579417127973e-08	1128.4761904761904	717.9551729638052
2	GO:0007304	5.872201648815489e-11	1.0	18	30	chorion-containing eggshell formation	BP	3.6994870387537584e-08	3010.4	2235.9829844313813
3	GO:0007305	4.270569291534551e-10	0.9999999999925882	11	13	vitelline membrane formation involved in chorion-containing eggshell formation	BP	2.0178439902500758e-07	2760.3076923076924	2410.8052719312686
4	GO:0007306	3.3607051720922656e-08	0.9999999989463824	10	13	eggshell chorion assembly	BP	1.2703465550508765e-05	2607.153846153846	2114.9413829358105
5	GO:0006635	9.922829695620686e-07	0.9999998720904342	14	30	fatty acid beta-oxidation	BP	0.000312569135412	2517.766666666667	3449.2694558252315
6	GO:0003333	1.049246077476996e-05	0.999998209646192	14	35	amino acid transmembrane transport	BP	0.0028329644091878	2605.6285714285714	1132.2671841604042
7	GO:0030198	1.3157229286749958e-05	0.9999979139488532	13	31	extracellular matrix organization	BP	0.0029271468300756	4043.7741935483873	1757.4216764941325
8	GO:0033540	1.3938794428931487e-05	0.9999997489118678	6	7	fatty acid beta-oxidation using acyl-CoA oxidase	BP	0.0029271468300756	2350.1428571428573	127.91674588399684
9	GO:0019991	8.546582201835918e-05	0.9999839431211414	12	34	septate junction assembly	BP	0.0161530403614698	2574.294117647059	2328.4386908450524
10	GO:0035080	0.000136289181034	0.9999926708599411	6	9	heat shock-mediated polytene chromosome puffing	BP	0.0234169592867548	2761.5555555555557	1070.0522428690738
11	GO:0032222	0.0001700092474035	0.9999840961060033	7	14	regulation of synaptic transmission, cholinergic	BP	0.0248760958604545	1376.2142857142858	1076.198347263673
12	GO:0034475	0.0001718432764224	0.9999938222319852	5	7	U4 snRNA 3'-end processing	BP	0.0248760958604545	1087.5714285714287	254.34670215664127
