	Category	Term	Description	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	Mean_Gene_Len	Stdv_Gene_Len
0	GOTERM_BP_DIRECT	GO:0055085	transmembrane transport	79	5.2422	0.0	FBGN0037144, FBGN0015872, FBGN0039641, FBGN0039244, FBGN0019952, FBGN0034275, FBGN0039886, FBGN0035521, FBGN0028468, FBGN0034716, FBGN0264494, FBGN0031523, FBGN0031002, FBGN0035767, FBGN0040350, FBGN0038719, FBGN0038718, FBGN0038717, FBGN0031449, FBGN0035968, FBGN0086365, FBGN0259834, FBGN0035173, FBGN0033196, FBGN0035695, FBGN0038720, FBGN0031010, FBGN0052091, FBGN0260388, FBGN0051121, FBGN0050035, FBGN0038407, FBGN0010651, FBGN0010497, FBGN0033635, FBGN0028491, FBGN0031734, FBGN0038099, FBGN0038337, FBGN0263747, FBGN0031220, FBGN0051272, FBGN0020762, FBGN0034490, FBGN0004512, FBGN0028646, FBGN0030576, FBGN0029932, FBGN0250757, FBGN0053970, FBGN0050345, FBGN0029896, FBGN0030331, FBGN0036316, FBGN0033048, FBGN0037846, FBGN0034611, FBGN0038938, FBGN0031865, FBGN0013953, FBGN0039873, FBGN0039872, FBGN0260964, FBGN0051262, FBGN0023549, FBGN0039594, FBGN0003515, FBGN0260005, FBGN0029849, FBGN0001296, FBGN0034909, FBGN0032167, FBGN0039637, FBGN0041150, FBGN0051106, FBGN0031517, FBGN0031636, FBGN0031998, FBGN0032449	1167	260	10945	2.8497	0.0	0.0	0.0	2495.64557	809.06918
1	GOTERM_BP_DIRECT	GO:0007304	chorion-containing eggshell formation	18	1.19443	0.0	FBGN0014465, FBGN0014464, FBGN0014466, FBGN0035694, FBGN0010383, FBGN0000427, FBGN0036690, FBGN0000256, FBGN0052642, FBGN0036938, FBGN0052644, FBGN0003980, FBGN0004650, FBGN0037405, FBGN0032311, FBGN0039709, FBGN0030439, FBGN0030438	1167	30	10945	5.62725	0.0	0.0	0.0	2190.88889	1792.4769
2	GOTERM_BP_DIRECT	GO:0006749	glutathione metabolic process	21	1.3935	0.0	FBGN0042206, FBGN0010040, FBGN0063497, FBGN0063495, FBGN0037696, FBGN0034354, FBGN0038020, FBGN0001149, FBGN0050022, FBGN0050000, FBGN0035907, FBGN0033817, FBGN0030484, FBGN0027590, FBGN0010038, FBGN0034335, FBGN0063494, FBGN0063493, FBGN0063492, FBGN0030932, FBGN0010039	1167	45	10945	4.37675	1e-05	0.0	0.0	956.7619	341.86546
3	GOTERM_BP_DIRECT	GO:0007305	vitelline membrane formation involved in chorion-containing eggshell formation	11	0.72993	0.0	FBGN0086265, FBGN0086266, FBGN0014076, FBGN0003980, FBGN0004650, FBGN0000359, FBGN0040949, FBGN0003979, FBGN0039709, FBGN0261016, FBGN0085362	1167	14	10945	7.36902	0.00023	6e-05	6e-05	2279.54545	2313.33653
4	GOTERM_BP_DIRECT	GO:0006635	fatty acid beta-oxidation	15	0.99536	0.0	FBGN0035383, FBGN0032160, FBGN0032162, FBGN0029924, FBGN0261862, FBGN0029969, FBGN0031092, FBGN0034629, FBGN0034628, FBGN0030731, FBGN0027572, FBGN0035203, FBGN0040064, FBGN0032775, FBGN0033879	1167	32	10945	4.39629	0.00319	0.00064	0.00064	1876.0	614.90064
5	GOTERM_BP_DIRECT	GO:0003333	amino acid transmembrane transport	15	0.99536	1e-05	FBGN0036493, FBGN0039045, FBGN0036279, FBGN0036764, FBGN0263776, FBGN0261794, FBGN0002778, FBGN0028886, FBGN0033443, FBGN0030817, FBGN0036116, FBGN0036007, FBGN0051547, FBGN0035969, FBGN0030218	1167	37	10945	3.8022	0.0245	0.00413	0.00411	2643.73333	795.20986
6	KEGG_PATHWAY	dme04142:Lysosome		35	2.3225	1e-05	FBGN0039045, FBGN0051928, FBGN0260475, FBGN0041629, FBGN0031381, FBGN0040658, FBGN0000330, FBGN0027611, FBGN0050269, FBGN0030057, FBGN0036756, FBGN0038912, FBGN0033763, FBGN0035767, FBGN0034997, FBGN0029093, FBGN0034417, FBGN0260768, FBGN0260746, FBGN0260767, FBGN0041630, FBGN0037215, FBGN0032264, FBGN0034761, FBGN0029508, FBGN0029507, FBGN0033836, FBGN0030521, FBGN0050273, FBGN0051661, FBGN0051683, FBGN0014417, FBGN0051926, FBGN0028670, FBGN0032303	439	122	3261	2.13105	0.00168	0.00017	0.00013	1720.62857	690.1729
7	GOTERM_BP_DIRECT	GO:0007306	eggshell chorion assembly	10	0.66357	2e-05	FBGN0052774, FBGN0029696, FBGN0051661, FBGN0002926, FBGN0041252, FBGN0000359, FBGN0015295, FBGN0051926, FBGN0000427, FBGN0032126	1167	17	10945	5.51691	0.0355	0.00516	0.00513	2361.1	2262.66235
8	GOTERM_BP_DIRECT	GO:0030198	extracellular matrix organization	13	0.86264	8e-05	FBGN0260745, FBGN0039430, FBGN0016075, FBGN0086408, FBGN0263038, FBGN0262169, FBGN0011828, FBGN0003137, FBGN0034903, FBGN0000299, FBGN0030805, FBGN0051619, FBGN0050418	1167	33	10945	3.69466	0.15042	0.02037	0.02024	4402.30769	1806.11527
9	GOTERM_BP_DIRECT	GO:0005975	carbohydrate metabolic process	24	1.59257	0.0001	FBGN0040323, FBGN0020416, FBGN0036298, FBGN0260746, FBGN0053080, FBGN0035484, FBGN0013763, FBGN0032382, FBGN0262559, FBGN0037533, FBGN0041630, FBGN0066114, FBGN0031099, FBGN0041629, FBGN0262782, FBGN0022702, FBGN0001258, FBGN0026415, FBGN0020415, FBGN0020414, FBGN0003076, FBGN0050359, FBGN0034417, FBGN0030239	1167	94	10945	2.39457	0.17518	0.02139	0.02125	1877.79167	461.88193
